userNo,registerDays,completedBuyOrderNum,completedSellOrderNum,counterpartyCount,completedBuyOrderNumOfLatest30day
s223232831a18318d9da8a75ffc88331b,20,1,0,1,1
s9058395d025230bd8fc5aa224f0c33e7,139,0,20,19,0
sa78a71b63bb23461b6328331626051a8,13,6,0,6,6
s8450a31b625333c7a7a80992ec85fb11,13,1,0,1,1
s275fd2d9304a343493854b6a493d72b2,61,0,0,0,0
s393dba701be237f69008392e318b0464,33,1,0,1,1
s0aff035dd3343f4c8a9d90cedc0d9c60,13,1,0,1,1
s8013976a271638be82d47b023e69e210,32,2,0,2,2
s7aa376d0f55333a8813a41196e4d65ff,79,72,0,22,31
s53ae07630e483ab883ed4a0ad21cdd27,16,4,0,3,4
s143d1d00a97231a386f4d5d4862c2f2c,67,9,1,8,7
s4635ac66a7b0377c8168b67226094d1a,73,212,0,47,83
sceb9c1f420bc33a58dae15b4aa678d1a,66,203,64,47,130
s6be90eae64403ac0b0eab8532b6598fe,358,211,0,79,38
s41ce7a63345439fb8779b6d9c3ec3591,16,7,1,6,7
s06a7a3a4657433dab2950f50bed15775,13,2,0,2,2
s700bcdfed16639a8922ea7e4cc812ed8,77,21,5,17,17
s04dc94a3d4d8308f85abf09afeb176ff,14,1,0,1,1
s472ef88c27db3e31985ab6d0a7052212,61,8,0,5,8
s28194320e5ce39399be17da1eebcc796,81,13,3,10,3
sf76d1e825d9438768c80e5d6b4674e68,20,1,0,1,1
s08c15ce4415d3208ae6cd23b8ceb5a7b,30,39,1,17,39
se37042c65901382e883b362c82c2a254,66,6,1,9,6
s564bb7eea6d23a9d992ef18828133d81,26,7,0,6,7
s374ad4f603ab348c9c39b0d9ffe90fef,16,13,0,5,13
s3ba74cedb2a032bd828576154a703c78,68,13,0,11,9
s2b1739f9d2513b5798e30cb45081fcf9,17,20,0,5,20
sa68882d44241397b805330721980dfff,1365,89,0,20,44
sd80145b52a2538c587efa65bfc50637d,23,11,0,4,11
sc6b562295bfb3f6eb41b9d7d15efecb4,25,7,0,4,7
se4652f27bed130ba8bfeb483eafcbb4d,17,4,0,3,4
sba2cbaec80cd39af99cbd14411c70ece,109,427,72,123,86
s8821015c9c9534939528a7a66c8e2c25,52,26,1,9,10
sf80c841414e635aaac25532c8305e1ab,15,5,3,7,5
s85d30f06d2483bd9bc172973efb6a722,579,3,0,3,1
sd753938e94ae31188aa40abcd4a94a55,19,0,0,0,0
s4d27d5341986363d8dc98267cb53b9df,13,1,0,1,1
s65840430b66e316eb288f3ecc29655ee,14,2,0,2,2
s9455047863c6366b87384ca885410b9f,64,54,11,22,22
s46d71b13a08b36f0a70286b69792c556,38,2,2,3,2
scb40df298c1c3fe991ded77c04da772a,91,2,15,16,2
sf73c22107dcb3a6d928b54d445d5bfa3,41,13,7,17,10
s0026c9c12afa3ee6a1082eda2e71dce7,46,2,0,2,1
s8119738e2bff3b6e9a63275e3682bcef,15,3,0,2,3
s844c7f0f91db30eca309b7f33ab78429,85,5,5,9,3
sf9263700b265380db67b683af9e47b7e,23,4,0,1,4
s22b15ef37a7e3702bb3a2b526c152c43,951,8,0,8,3
s666a7a6b4cf33cdfa8a2438285b665e8,2929,2,1,3,1
