registerDays,firstOrderDays,avgReleaseTimeOfLatest30day,avgPayTimeOfLatest30day,finishRateLatest30day,completedOrderNumOfLatest30day,completedBuyOrderNumOfLatest30day,completedSellOrderNumOfLatest30day,completedOrderTotalBtcAmountOfLatest30day,completedOrderNum,completedBuyOrderNum,completedSellOrderNum,completedBuyOrderTotalBtcAmount,completedSellOrderTotalBtcAmount,completedOrderTotalBtcAmount,counterpartyCount,userNo
1188,491,850.5,313.0,0.819,9,3,6,0,56,10,46,0,0,0,45,s818d6be3f00a39e7902b0a0cc652be0d
972,663,31.33,85.5,1.0,5,2,3,0,66,43,23,0,0,0,58,s5262e8ee91fb3465936c1ae33ca541ce
1157,1155,0.0,206.56,0.875,35,32,0,0,120,120,0,0,0,0,62,s4d53126271fa3e5f9237dad9898d2994
37,14,0.0,115.0,1.0,3,3,0,0,3,3,0,0,0,0,2,s1fccc8f715423b46b640cd66ac201a58
43,42,0.0,150.41,0.877,198,198,0,0,210,210,0,0,0,0,66,s3e451362d1a434799fb0ab33c0c643fb
119,53,0.0,159.4,0.834,5,5,0,0,7,7,0,0,0,0,4,s0fb56eee82443e889b42024f65b1e238
484,115,0.0,75.81,0.942,16,16,0,0,37,35,2,0,0,0,9,se2f5bcf9a9b4389897b0e319f7c452ba
618,470,48.8,63.28,0.883,30,25,5,0,38,32,6,0,0,0,19,s2d64da87a10733f0b40f9399bbefa521
72,72,0.0,67.0,1.0,8,8,0,0,24,22,2,0,0,0,18,sb384d7a41ad0376683b5a49ad329fbb4
15,14,0.0,202.0,1.0,1,1,0,0,1,1,0,0,0,0,1,s860a5fa08cf43b34b0538aafd13bdcb5
1258,367,13.67,105.75,1.0,7,4,3,0,25,15,10,0,0,0,21,s2b4795850c193173b37f6ac37f009e38
23,23,490.0,382.5,0.417,5,4,1,0,5,4,1,0,0,0,5,s8685f3e6b0e9384086800094f52ffa53
14,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,sbf412a41cef931ffbc42cea9f81ba991
